frequency_hz,delta_phi_wrapped_deg,delta_phi_unwrapped_deg,delta_phi_raw_deg
10000000.0,126.56575083732605,-219.25353080034256,152954.05845075846
10502793.296089385,60.18610417842865,-200.57843327522278,128173.34534704685
11005586.592178771,-25.675649642944336,-619.8671185970306,95150.45317679644
11508379.888268156,-58.968976736068726,-534.4968795776367,60465.22829979658
12011173.184357543,141.67272180318832,-578.3272781968117,141.67272180318832
12513966.480446927,-122.08273619413376,-482.08273619413376,-122.08273619413376
13016759.776536312,-26.292292177677155,-386.29229217767715,-386.29229217767715
13519553.072625699,69.44008737802505,-290.55991262197495,69.44008737802505
14022346.368715083,164.648679792881,-195.351320207119,164.648679792881
14525139.66480447,-99.1725566983223,-99.1725566983223,260.8274433016777
15027932.960893854,-3.0947113037109375,-3.0947113037109375,-3.0947113037109375
15530726.25698324,92.4170270562172,92.4170270562172,92.4170270562172
16033519.553072626,-172.29769885540009,187.70230114459991,187.70230114459991
16536312.849162012,-76.09122544527054,283.90877455472946,-76.09122544527054
17039106.145251397,20.36624103784561,380.3662410378456,-339.6337589621544
17541899.44134078,115.40746092796326,475.40746092796326,115.40746092796326
18044692.737430166,-148.908873796463,571.091126203537,-148.908873796463
18547486.03351955,-53.087332248687744,666.9126677513123,-53.087332248687744
19050279.32960894,42.706869542598724,762.7068695425987,42.706869542598724
19553072.625698324,139.06877428293228,859.0687742829323,-220.93122571706772
20055865.92178771,-125.5639323592186,954.4360676407814,234.4360676407814
20558659.217877097,-29.674887657165527,1050.3251123428345,-29.674887657165527
21061452.51396648,65.10701894760132,1145.1070189476013,65.10701894760132
21564245.810055867,161.6908898949623,1241.6908898949623,-198.3091101050377
22067039.10614525,-102.533058822155,1337.466941177845,-102.533058822155
22569832.402234636,-6.136462390422821,1433.8635376095772,-6.136462390422821
23072625.698324025,88.78071874380112,1528.7807187438011,-271.2192812561989
23575418.994413406,-175.66921144723892,1624.330788552761,184.33078855276108
24078212.290502794,-79.04287576675415,1720.9571242332458,-79.04287576675415
24581005.58659218,16.24949276447296,1816.249492764473,-343.75050723552704
25083798.882681563,111.88568025827408,1911.885680258274,111.88568025827408
25586592.178770952,-152.18668341636658,2007.8133165836334,-152.18668341636658
26089385.474860333,-55.846002995967865,2104.153997004032,304.15399700403214
26592178.77094972,40.12039661407471,2200.1203966140747,-319.8796033859253
27094972.067039106,135.33221304416656,2295.3322130441666,135.33221304416656
27597765.36312849,-129.0395924448967,2390.9604075551033,-129.0395924448967
28100558.659217875,-32.72095173597336,2487.2790482640266,-32.72095173597336
28603351.955307264,63.15433323383331,2583.1543332338333,63.15433323383331
29106145.25139665,158.39718014001846,2678.3971801400185,158.39718014001846
29608938.547486033,-104.65755879878998,2775.34244120121,-104.65755879878998
30111731.843575418,-9.755894243717194,2870.244105756283,350.2441057562828
30614525.139664803,86.12223118543625,2966.1222311854362,86.12223118543625
31117318.43575419,-178.08043956756592,3061.919560432434,-178.08043956756592
31620111.731843576,-82.25316613912582,3157.746833860874,-82.25316613912582
32122905.02793296,13.527377843856812,3253.527377843857,13.527377843856812
32625698.324022345,109.14578229188919,3349.145782291889,-250.8542177081108
